TimeFrom,TimeTo,Speaker,Gap between speakers,Confidence
1.6, 1.86, 0, 0.00, 0.31
1.86, 2.09, 0, 0.00, 0.31
2.09, 2.25, 0, 0.00, 0.31
2.25, 2.35, 0, 0.00, 0.31
2.35, 2.62, 0, 0.00, 0.31
2.62, 3.04, 0, 0.00, 0.31
3.35, 3.62, 0, 0.00, 0.37
3.62, 3.75, 0, 0.00, 0.37
3.75, 3.94, 0, 0.00, 0.37
3.94, 4.1, 0, 0.00, 0.37
4.1, 4.64, 0, 0.00, 0.37
5.2, 5.45, 1, 0.56, 0.36
5.48, 5.85, 1, 0.56, 0.37
5.88, 6.48, 2, 0.03, 0.34
6.72, 7.12, 2, 0.03, 0.33
7.28, 7.57, 2, 0.03, 0.31
7.57, 8.03, 2, 0.03, 0.31
8.03, 8.12, 2, 0.03, 0.31
8.12, 8.31, 2, 0.03, 0.31
8.31, 8.45, 2, 0.03, 0.31
8.45, 8.65, 2, 0.03, 0.31
8.65, 8.98, 2, 0.03, 0.31
8.98, 9.07, 2, 0.03, 0.31
9.07, 9.26, 2, 0.03, 0.31
9.47, 9.79, 3, 0.21, 0.28
9.79, 10.06, 3, 0.21, 0.28
10.09, 10.4, 3, 0.21, 0.34
10.4, 10.6, 3, 0.21, 0.34
10.63, 11.01, 3, 0.21, 0.29
11.01, 11.37, 3, 0.21, 0.29
11.51, 11.76, 3, 0.21, 0.34
11.76, 12.15, 3, 0.21, 0.34
